Category:,Bearing,,,,,,,,,,,,,,,,
Name,Type,Rolling element,Enclosure,Rolling rows,Cage,"Size, mm","Static load rating, N","Dynamic load rating, N","Limiting speed, 1/min",Standard,Manufacturer,Material,Wiki,Website,Website lang,Replacer,Image
7201107,Plain bearing,-,-,-,-,20x26x19.5,-,-,-,-,USSR,БрАЖМЦ 10-3-1.5,-,-,-,-,https://drive.google.com/open?id=152Y36Ad5ZmFM-N8yXvof2QE6Ou-EgSse
7201404,Plain bearing,-,-,-,-,-,-,-,-,-,USSR,БрАЖМЦ 10-3-1.5; АЛ-5,-,-,-,-,https://drive.google.com/open?id=1W0V27a99ZPQJxwV9br8vvl4a7dYkcUCd
407-1004058-A,Half-bearing,-,-,-,-,47.975-48.000 (diameter of con rod big end journal),-,-,-,-,USSR,-,-,-,-,-,https://drive.google.com/open?id=1joOXSX3Cr1SVO9nXxIxOc63fu7MSIueu
7201234-A,Plain bearing,-,-,-,-,21x23.5x25,-,-,-,-,USSR,БрОФ 10,-,-,-,-,https://drive.google.com/open?id=1t0PaB_YLDUiKh7d3Un3-uUZGA8kJMxxw
904700УС17,Roller bearing,Roller (no data),-,-,-,10x19x9,-,-,-,-,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=904700&mod=1,-,-,-,https://drive.google.com/open?id=1OAYR68x1Wd3zZ5HRC92XQohItwT73ZUv
Half-bearing 7205238/39,Half-bearing,-,-,-,-,-,-,-,-,-,USSR,Bronze,-,-,-,Roller 3x15.8 45 pcs kit,-
Roller 2.5x10 120 pcs kit,"Kit, Roller",Roller 2.5x10 (120),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roller 3x15.8 45 pcs kit,"Kit, Roller",Roller 3x15.8 (45),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roller 3x15.8 90 pcs kit,"Kit, Roller",Roller 3x15.8 (90),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3086304Л,Deepgroove bearing,Ball (no data),Open,2 rows,Solid brass cage,20x52x22.22,-,-,-,GOST 520-89,USSR,-,https://aprom.by/cgi-bin/boardauto.pl?&words=3086304&mod=1,-,-,5304; 3304; 3304B TVH; BMW 07119982468,https://drive.google.com/open?id=1WVwp97Bxo-Aj1lNRzxj3P_62-CB_RKkT
