Category:,Engine,,,,,,,,,,,,,,,,,,,,,,,
Name,Manufacturer,"Power, hp",Strokes,Valvetrain,Config,Cylinders,"Cylinder bore, mm","Piston stroke, mm","Displacement, cc","Max power speed, rpm","Torque, nm","Max torque speed, rpm","Max speed, rpm",Compression ratio,"Fuel consumption, L/100km",Spark plug,Fuel,Piston assembly,Fastener,Bearing,Seal,Oil filter,Oil,Image
M-72 type,IMZ,22,4,SV,Boxer,2,78,78,746,4600-4900,45,-,-,5.5,-,НА11 (2); 11А (2),Gasoline А-66,72012-2 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 822907 (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 7201404 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",50x65x5.5 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2),https://drive.google.com/open?id=1jgRc7Li0i-CF0GdFeRPqw9LBEJhxKnlG
K-750 type,KMZ,26,4,SV,Boxer,2,78,78,746,4600-4800,39.2,-,-,6,-,А8У (2),Gasoline А-66 - А-74,72012-2 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 822907 (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",50x65x5.5 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2),https://drive.google.com/open?id=1IKjjCmBC7t_o_xnsdVnx2-SPeR0BBAvk
K-750M type,KMZ,26,4,SV,Boxer,2,78,78,746,4600-4800,39.2,-,-,6,-,А8У (2),Gasoline А-66 - А-74,72012-2 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 822907 (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",50x65x5.5 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2),https://drive.google.com/open?id=1E5WKNf8BSX7RBCWF0PP93amN_ag98ZFN
M-61 type,IMZ,26,4,OHV,Boxer,2,78,68,649,5000-5200,47,-,5900,6.2,-,А8У (2),Gasoline А-66 - А-74,6601022 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 822907 (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",7201191 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2),https://drive.google.com/open?id=1uV4hhkcgB4lhAJ0eKcBbPvg7qOVmbEUc
M-62 type,IMZ,28,4,OHV,Boxer,2,78,68,649,5000-5200,47,3500,-,6.2,-,А8У (2),Gasoline А-66 - А-74,6601022 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 822907 (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",7201191 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2),https://drive.google.com/open?id=1FuyjYeoelp2355_UqQJIBOJl3-6kDzkO
MT-8,KMZ,32,4,OHV,Boxer,2,78,68,649,4800-5200,41.8,-,-,7,-,А8У (2),Gasoline А-70 А-72 А-74,MT-8012-3 МТ-8 type (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"42209 (Crankshaft, rear journal - 1); 209 (Crankshaft, front journal - 1); 407-1004058-A (Connecting Rod, big end - 4); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 204 (Camshaft, rear journal - 1)",59.7x85x12 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2.2),https://drive.google.com/open?id=1zU4egYoS9Vv2zCjPcC2hRSezabGRLW8w
MT-9 type,KMZ,32,4,OHV,Boxer,2,78,68,649,4800-5200,41.8,-,-,7,-,А8У (2),Gasoline А-70 - А-74,MT-8012-3 МТ-9 type (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"42209 (Crankshaft, rear journal - 1); 209 (Crankshaft, front journal - 1); 407-1004058-A (Connecting Rod, big end - 4); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 204 (Camshaft, rear journal - 1)",59.7x85x12 (Crankshaft - 1); 7201122 (Camshaft - 1),-,АК-10 (2.2),https://drive.google.com/open?id=1407Jy_aaLxjpXgj6jijReMeUSAGnRqBL
M-67 type,IMZ,32,4,OHV,Boxer,2,78,68,649,5000-5200,47,-,-,7,-,А8У (2),Gasoline А-70 - А-74,6601022 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 864708 ДМ (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",7201191 (Crankshaft - 1); 7201122 (Camshaft - 1),IMZ-8.101-01090,АК-10 (2.3),https://drive.google.com/open?id=1zpDxElD7O4T5bSc3HN6YCNDR1pXXRZdL
M-66 type,IMZ,32,4,OHV,Boxer,2,78,68,649,5600-5900,48,-,-,7,-,А8У (2),Gasoline А-70 - А-74,6601022 (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"207 (Crankshaft - 2); 864708 ДМ (Connecting Rod, big end - 2); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 7201107 (Camshaft, rear journal - 1)",7201191 (Crankshaft - 1); 7201122 (Camshaft - 1),6601090,АК-10 (2.3),https://drive.google.com/open?id=1ZfZsNAyigwnGAf8knlcOm86UB0Vkfsa1
MT-10-32,KMZ,32,4,OHV,Boxer,2,78,68,649,4800-5200,44.1,5200,-,7,-,А14В (2); А17В (2),Gasoline А-70 - А-74,MT-8012-3 МТ-10-32 type (2),7201228 (Flywheel - 1); 7203123 (Flywheel pin - 6),"42209 (Crankshaft, rear journal - 1); 209 (Crankshaft, front journal - 1); 407-1004058-A (Connecting Rod, big end - 4); 7201234-A (Connecting Rod, small end - 2); 205 (Camshaft, front journal - 1); 204 (Camshaft, rear journal - 1)",59.7x85x12 (Crankshaft - 1); 7201122 (Camshaft - 1),-,М-8 (2.2),https://drive.google.com/open?id=1N5uYaaFCaLCNjBDMRRyz1q-7D_KPoBuv
