Category:,Frame and wheels,,,,
Name,Wheel,Bearing,Seal,Replacer,Image
K-750 type,M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 120 pcs kit (Front fork levers - 1),"Felt seal 6mm thickness (Steering head, upper - 1); 5308159 (Steering head, lower - 1)",-,frame_and_wheels_k-750_type.png
K-750M type,K-750M type (4),7787007 (Steering head - 2),"Felt seal 6mm thickness (Steering head, upper - 1); 5308159 (Steering head, lower - 1)",-,frame_and_wheels_k-750m_type.png
M-62 type,M-72M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,-
M-63 type,M-72M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,frame_and_wheels_m-63_type.png
M-66 type,M-72M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,frame_and_wheels_m-66_type.png
M-67 type,M-72M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,frame_and_wheels_m-67_type.png
M-72 type,M-72 type (4),7787007 (Steering head - 2),-,-,frame_and_wheels_m-72_type.png
M-72M type,M-72M type (4),7787007 (Steering head - 2),-,-,frame_and_wheels_m-72m_type.png
M-72N type,M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 120 pcs kit (Front fork levers - 1),-,-,frame_and_wheels_m-72n_type.png
MT-10-36 type,K-750M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,-
MV-650 type,K-750M type (4),7787007 (Steering head - 2),75008159 (Steering head - 2),-,-
MV-750 type,K-750M type (4),7787007 (Steering head - 2),"Felt seal 6mm thickness (Steering head, upper - 1); 5308159 (Steering head, lower - 1)",-,frame_and_wheels_mv-750_type.png
MV-750M type,K-750M type (4),7787007 (Steering head - 2),"Felt seal 6mm thickness (Steering head, upper - 1); 5308159 (Steering head, lower - 1)",-,-
