,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Material (i),,,,,,,,,,,
Name,Description,,,,,,,,Replacer,,,
NBR,nitrile butadiene rubber,,,,,,,,-,,,
FPM,flouride rubber,,,,,,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,GOST (i),,,,,,,,,,,
Name,Description,,,,,,,,Replacer,,,
13943-86,Eccentric inner flat thrust spring retaining rings,,,,,,,,-,,,
,,,,,,,,,,,,
Category:,Screw,,,,,,,,,,,
Name,"Dimensions, mm",GOST,GOST (newer),Material,Screw class,,,,Replacer,,,
M10x1.5x18,M10x1.5x18,1490-80,17475-80,-,4.8 or higher,,,,DIN 963; DIN 7991,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Lock ring,,,,,,,,,,,
Name,"Dimensions, mm",GOST,Material,,,,,,Replacer,,,
7205317,19x1,13943-86,40X13,,,,,,DIN 472,,,
DIN 472,19x1,-,Spring steel,,,,,,-,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category:,Bearing,,,,,,,,,,,
Name,Type,Rolling element (pcs),Enclosure,Rolling row,Cage,"Size, mm",GOST,Material,Replacer,,,
209,deepgroove,ball (9),open,single row,sheet metal,45x85x19,-,-,6209,,,
207,deepgroove,ball (9),open,single row,sheet metal,35x72x17,-,-,6207,,,
205,deepgroove,ball (9),open,single row,sheet metal,25x52x15,-,-,6205,,,
204,deepgroove,ball (8),open,single row,sheet metal,20x47x14,-,-,6204,,,
303,deepgroove,ball (-),open,single row,sheet metal,17x47x14,-,-,6303,,,
304,deepgroove,ball (-),open,single row,sheet metal,20x52x15,-,-,6304,,,
201,deepgroove,ball (7),open,single row,sheet metal,12x32x10,-,-,6201,,,
200,deepgroove,ball (6),open,single row,sheet metal,10x30x9,-,-,6200,,,
18,deepgroove,ball (7),open,single row,sheet metal,8x22x7,-,-,608,,,
180503,deepgroove,ball (-),closed,single row,-,17x40x16,-,-,62203zz,,,
42209l,cylindrical roller,roller (16),open,single row,brass,45x85x19,-,-,NJ209,,,
12204,cylindrical roller,roller (11),open,single row,brass,20x47x14,-,-,NF204,,,
7204,tapered roller,tapered roller (12),open,single row,sheet metal,20x47x15.3,-,-,30204,,,
7787007,thrust,ball (-),-,single row,-,34x51x12.1,-,-,SSW055,,,
SSW055,tapered roller,tapered roller (-),-,single row,sheet metal,34x51x12.1,-,-,-,,,
7201404,plain,-,-,-,-,-,-,AL-5; BrAZHMc 10-3-1.5,-,,,
7201107,plain,-,-,-,-,20x26x19.5,-,BrAZHMc 10-3-1.5,-,,,
948066,thrust,ball (-),open,single row,-,6x22.7x5.5,-,-,AXK0619NF,,,
Half-bearing 7205238/39,half-bearing,-,-,-,-,-,-,Bronze,Needle 3x15.8 (kit 45 pcs),,,
Needle 3x15.8,needle,needle (1),-,-,-,3x15.8,-,-,INA NRB 3x15.8-G2,,,
3086304 L,deepgroove,ball (-),open,2 row,brass,20x52x22.22,-,-,5304; 3304,,,
