Category:,Lock ring,,,,
Name,"Dimensions, mm",Standard,Material,Replacer,Image
7205317,19x1,GOST 13943-86,40Х13,DIN 472,-
DIN 472,19x1,DIN 472,Spring steel,-,-
75005305,20x2,ОСТ 1.10241-71,B-2A,"DIN 7993 A; DIN 983 (TODO: cardan shaft groove diameter 15.2 mm, fork inner diameter 23.4 mm); GOST-13940-86 (TODO: cardan shaft groove diameter 16.8 mm)",https://drive.google.com/open?id=1FR_f5LVe4DCzhrXQv8kqXMUCWAxDFPv1
6305310,20x2,ОСТ 1.10241-71,B-2A,"DIN 7993 A; DIN 983 (TODO: cardan shaft groove diameter 15.2 mm, fork inner diameter 23.4 mm); GOST-13940-86 (TODO: cardan shaft groove diameter 16.8 mm)",https://drive.google.com/open?id=1FR_f5LVe4DCzhrXQv8kqXMUCWAxDFPv1
IMZ-8.101-05310,20x2,ОСТ 1.10241-71,B-2A,"DIN 7993 A; DIN 983 (TODO: cardan shaft groove diameter 15.2 mm, fork inner diameter 23.4 mm); GOST-13940-86 (TODO: cardan shaft groove diameter 16.8 mm)",https://drive.google.com/open?id=1FR_f5LVe4DCzhrXQv8kqXMUCWAxDFPv1
DIN 7993 A,20x2,DIN 7993 A,Spring steel; Stainless steel A2,-,https://drive.google.com/open?id=1OW0ZwZmp8m1iAad_-_vH_leekCtb8-JJ
DIN 983,16x2,DIN 983,Spring steel; Stainless steel A2,-,https://drive.google.com/open?id=1QRL17mwn0bDceuymJV4a3CKxkutNVIhp
GOST-13940-86,18x1.2,GOST-13940-86,Spring steel; Stainless steel A2,-,https://drive.google.com/open?id=1XdvD0FhODJ8rCE66ii5iuf6QLnSs5wRC
7201239,23.5,-,Ст.Р-II,-,https://drive.google.com/open?id=16nb0k3FOPLo0EOirUCjObgnK8kLXWybS
7201239-01,23.5,-,Ст.Р-II,-,https://drive.google.com/open?id=16nb0k3FOPLo0EOirUCjObgnK8kLXWybS
