Category:,Material,,,,,,
Name,Full name,Type,Standard,Purpose,Wiki,Replacer,Image
Aluminium,-,Non-ferrous metals and alloys,GOST 4784-74,-,https://en.wikipedia.org/wiki/Aluminium,-,-
Aluminium A5-grade 0.5mm,-,Non-ferrous metals and alloys,GOST 11069-2001,-,http://www.splav-kharkov.com/mat_start.php?name_id=1219,-,https://drive.google.com/open?id=18jE2hrkCiOS96AXxMw5KQob-ZTLBiIqO
Aluminium bronze,-,Metals and alloys,GOST 18175-78,-,https://en.wikipedia.org/wiki/Aluminium_bronze,-,https://drive.google.com/open?id=1VVMHxBeHdhjH_vB6Xx2jNnvfFyZJrmw7
Brass,-,Non-ferrous metals and alloys,GOST 15527-70,-,https://en.wikipedia.org/wiki/Brass,-,-
FPM,Fluorocarbon Rubber,Rubber,-,-,https://en.wikipedia.org/wiki/Fluoropolymer,-,https://drive.google.com/open?id=1edy7NMK7EAWaDYi9F6q46emrXxQDX7nG
Gasket paper A-grade 0.5mm,-,Gasket paper,ТУ 5443-012-00278882-2005,-,https://vk.com/@472711763-nemnogo-o-prokladochnom-kartone,-,https://drive.google.com/open?id=108JvIs-pIeCb1KQmJYHWW8P3SzyZq9Km
NBR,Nitrile Butadiene Rubber,Rubber,-,Oil resistant material for gaskets and seals,https://en.wikipedia.org/wiki/Nitrile_rubber,-,-
Polyamide,-,Plastic,GOST 10589-87,-,https://en.wikipedia.org/wiki/Polyamide,-,-
Portuguese cork 3mm,-,Cork,GOST 633-2011,-,https://en.wikipedia.org/wiki/Cork_(material),-,https://drive.google.com/open?id=1_OPMMaEAQplj1EHyD71Q2viutxjs6aC6
РТИ-1,Rubber product,Rubber,GOST 2068-61,Heat resistant wire insulation,https://en.wikipedia.org/wiki/Natural_rubber,-,-
Duralumin,-,Non-ferrous metals and alloys,GOST 4784-74,-,https://en.wikipedia.org/wiki/Duralumin,-,https://drive.google.com/open?id=1pLcCm8YoAVScToIvgxT5joYsV7z8o3in
Special cast iron,-,Foundry cast iron,-,-,-,-,https://drive.google.com/open?id=1BCdBcRRTfR1WiAQ5HYGXs94Z2D9U04tX
