Category:,Oil filter,,,,,,,
Name,Manufacturer,"Size, mm",Adapter,Replacer,Wiki,Website,Website lang,Image
6601090,USSR,51x118,-,M67.36.1012040; HF895; 10-26960; HF161 (Adapter required),-,-,-,https://drive.google.com/open?id=1u_YpDmGtdfd4U1HKzuc4u-CoGJAUpj41
IMZ-8.101-01090,USSR,50x120,-,M67.36.1012040; HF895; 10-26960; HF161 (Adapter required); W75/3 (Adapter required),-,-,-,-
M67.36.1012040,Ливны,50x121,-,HF895; 10-26960,-,-,-,https://drive.google.com/open?id=1IlftJLRyZcqT6D5lzqXNeVI20ApyvaAW
HF895,Hiflo Filtro,50x117,-,10-26960,-,-,-,https://drive.google.com/open?id=1eNxAdTL1VzCTTYpk95q9PnGbVkB9Per0
10-26960,Emgo,50x120,-,-,-,-,-,https://drive.google.com/open?id=1THcAYuta_-7qJJc4_tZSwJFLl5WpYYsl
HF161,Hiflo Filtro,141x128,HF161 filter adapter,OX35; 11 42 1 337 198; 11 42 1 337 570; 11 42 1 337 572,-,-,-,https://drive.google.com/open?id=1AIDr1Gd4mdilrIqesCkcZsRJH84prRqm
OX35,Knecht; MAHLE,41.5x128,HF161 filter adapter,11 42 1 337 198; 11 42 1 337 570; 11 42 1 337 572,-,-,-,https://drive.google.com/open?id=1lJPv5rYFgrJyeAEYbK-BpOK5iV0XY6BA
11 42 1 337 198,BMW,41.5x128,-,-,-,-,-,-
11 42 1 337 570,BMW,41.5x128,-,-,-,-,-,-
11 42 1 337 572,BMW,41.5x128,-,-,-,-,-,-
W75/3,MANN filter,-,W75/3 filter adapter,451103336; 7700873583; OC467,-,-,-,https://drive.google.com/open?id=1MUH70q9VNIi6Nxg-bo9v1E6BaV386K7w
451103336,BOSCH,-,W75/3 filter adapter,-,-,-,-,-
7700873583,Renault,-,W75/3 filter adapter,-,-,-,-,-
OC467,Knecht; MAHLE,-,W75/3 filter adapter,-,-,-,-,-
