Category:,Piston,,,,,,,,,,,,,
Name,"Size, mm",Manufacturer,Material,Manufacturing technology,"Compression rings, pcs","Oil control rings, pcs","Compression rings width, mm","Oil control rings width, mm","Weight, g",Wiki,Website,Website lang,Replacer,Image
7201237,78,USSR,КС-245,Investment casting,2,2,3,5,-,-,-,-,7201216а; 7201216б; 7201216в; M-72/K-750 R-0 ALMOT; M-72/K-750 79mm ALMOT; M-72/K-750 79mm Автотехнология,https://drive.google.com/open?id=1R590ZBh842-bdBzpSoRlzoZfXHhyN0mj
7201216а,78.2,USSR,КС-245,Investment casting,2,2,3,5,-,-,-,-,7201216б; 7201216в; M-72/K-750 R-1 ALMOT; M-72/K-750 79mm ALMOT; M-72/K-750 79mm Автотехнология,https://drive.google.com/open?id=1R590ZBh842-bdBzpSoRlzoZfXHhyN0mj
7201216б,78.5,USSR,КС-245,Investment casting,2,2,3,5,-,-,-,-,7201216в; M-72/K-750 R-2 ALMOT; M-72/K-750 79mm ALMOT; M-72/K-750 79mm Автотехнология,https://drive.google.com/open?id=1R590ZBh842-bdBzpSoRlzoZfXHhyN0mj
7201216в,79,USSR,КС-245,Investment casting,2,2,3,5,-,-,-,-,M-72/K-750 R-4 ALMOT; M-72/K-750 79mm ALMOT; M-72/K-750 79mm Автотехнология,https://drive.google.com/open?id=1R590ZBh842-bdBzpSoRlzoZfXHhyN0mj
M-72/K-750 R-0 ALMOT,78,ALMOT,-,Investment casting,2,2,3,5,-,-,-,-,-,https://drive.google.com/open?id=1AkHHW0UYXvb5hidLvM4sbprIuEcxhhDR
M-72/K-750 R-1 ALMOT,78.2,ALMOT,-,Investment casting,2,2,3,5,-,-,-,-,-,https://drive.google.com/open?id=1AkHHW0UYXvb5hidLvM4sbprIuEcxhhDR
M-72/K-750 R-2 ALMOT,78.5,ALMOT,-,Investment casting,2,2,3,5,-,-,-,-,-,https://drive.google.com/open?id=1AkHHW0UYXvb5hidLvM4sbprIuEcxhhDR
M-72/K-750 R-3 ALMOT,78.75,ALMOT,-,Investment casting,2,2,3,5,-,-,-,-,-,https://drive.google.com/open?id=1AkHHW0UYXvb5hidLvM4sbprIuEcxhhDR
M-72/K-750 R-4 ALMOT,79,ALMOT,-,Investment casting,2,2,3,5,-,-,-,-,-,https://drive.google.com/open?id=1AkHHW0UYXvb5hidLvM4sbprIuEcxhhDR
M-72/K-750 79mm ALMOT,79,ALMOT,-,Investment casting,2,1,1.5 and 2,4,-,-,-,-,-,https://drive.google.com/open?id=18GEM49nZqlb0R0N9iok9XdLSNEpDLKvj
M-72/K-750 79mm Автотехнология,79,НПП Автотехнология,АК12Д; АК18Д,Isothermal stamping,2,1,1.5 and 2,4,-,-,-,-,-,https://drive.google.com/open?id=1V97Ce42Y22e5wluG-rYA2zEyTU7l9Z9y
