Category:,Piston assembly,,,,,,,,,,
Name,"Diameter, mm",Manufacturer,Piston rings,Piston,Piston pin,Lock ring,Wiki,Website,Website lang,Replacer,Image
72012-2,78,USSR,M-72 type USSR,7201237,7201238,7201239 (2),-,-,-,M-72/K-750 R-0 assembly ALMOT; M-72/K-750 79mm assembly ALMOT; M-72/K-750 79mm assembly Автотехнология,https://drive.google.com/open?id=1nkZww37bnCU9_3gYTHTokoXlAL0Dv6bp
M-72/K-750 R-0 assembly ALMOT,78,ALMOT,M-72 R0 ALMOT,M-72/K-750 R-0 ALMOT,21mm MOTUS,7201239 (2),-,-,-,-,https://drive.google.com/open?id=1PvEWV4YcKpK1xXfN_6NiK_Zt5dubw-yH
M-72/K-750 79mm assembly ALMOT,79,-,44815NO,M-72/K-750 79mm ALMOT,23412333000,7201239 (2),-,-,-,M-72/K-750 79mm assembly Автотехнология,-
M-72/K-750 79mm assembly Автотехнология,79,-,44815NO,M-72/K-750 79mm Автотехнология,23412333000,7201239 (2),-,-,-,-,-
6601022,78,USSR,M-72 type USSR,6601237,7201238,7201239 (2),-,-,-,-,https://drive.google.com/open?id=1horp2NCptcyUSBz-g0VDLv00hdjdEidq
Ural R-0 assembly ALMOT,78,ALMOT,Ural type 78mm MOTUS,Ural R-0 ALMOT,21mm MOTUS,7201239 (2),-,-,-,Ural R-0 ALMOT; Ural 79mm ALMOT; Ural 79mm Автотехнология,https://drive.google.com/open?id=15w8I0-UYojGKjxT9w7sutoo7sZqZE7Rf
Ural 79mm assembly ALMOT,79,-,44815NO,Ural 79mm ALMOT,23412333000,7201239 (2),-,-,-,Ural 79mm Автотехнология,-
Ural 79mm assembly Автотехнология,79,-,44815NO,Ural 79mm Автотехнология,23412333000,7201239 (2),-,-,-,-,-
MT-8012-3 МТ-8 type,78,USSR,Dnepr type USSR,МТ-801237 МТ-8 type,7201238,7201239 (2),-,-,-,Dnepr R-0 assembly ALMOT; Dnepr 79mm assembly ALMOT; Dnepr 79mm assembly Автотехнология; MT-8012-3 МТ-10-32 type,-
MT-8012-3 МТ-9 type,78,USSR,Dnepr type USSR,МТ-801237 МТ-9 type,7201238,7201239 (2),-,-,-,Dnepr R-0 assembly ALMOT; Dnepr 79mm assembly ALMOT; Dnepr 79mm assembly Автотехнология; MT-8012-3 МТ-10-32 type,https://drive.google.com/open?id=1ou434xWa6oM3Gh6jimXshd0jMsXh34yx
MT-8012-3 МТ-10-36 type,78,USSR,M-72 type USSR,МТ-801237 МТ-10-36 type,7201238,7201239 (2),-,-,-,Dnepr R-0 assembly ALMOT; Dnepr 79mm assembly ALMOT; Dnepr 79mm assembly Автотехнология; MT-8012-3 МТ-10-32 type,-
MT-8012-3 МТ-10-32 type,78,USSR,M-72 type USSR,МТ-801237 МТ-10-36 type,7201238,7201239 (2),-,-,-,Dnepr R-0 assembly ALMOT; Dnepr 79mm assembly ALMOT; Dnepr 79mm assembly Автотехнология,https://drive.google.com/open?id=1IzVwe0PRHJZFqzBB655m5NjD144lWFLn
Dnepr R-0 assembly ALMOT,78,ALMOT,Dnepr type 78mm MOTUS,Dnepr R-0 ALMOT,21mm MOTUS,7201239 (2),-,-,-,Dnepr 79mm assembly ALMOT; Dnepr 79mm assembly Автотехнология,https://drive.google.com/open?id=1Hr8DRTk6IDulgapHzEQLaUqMnWOwWBqa
Dnepr 79mm assembly ALMOT,79,-,44815NO,Dnepr 79mm ALMOT,23412333000,7201239 (2),-,-,-,Dnepr 79mm assembly Автотехнология,-
Dnepr 79mm assembly Автотехнология,79,-,44815NO,Dnepr 79mm Автотехнология,23412333000,7201239 (2),-,-,-,-,-
