Category:,Seal,,,,,,,,
"Size, mm",Name,Manufacturer,Direction,Material,Replacer,Wiki,Website,Website lang,Image
11.5x25.1x7,6204147,USSR,-,-,OAS-12X25x7-NBR,-,-,-,-
11x6.5x11,6326155,USSR,-,Oil-resistant rubber,-,-,-,-,https://drive.google.com/open?id=1dYUCtjfGxcY_yvo7HQ9YH_vH1L1hoauy
11x6.5x11,7203213,USSR,-,Felt,-,-,-,-,https://drive.google.com/open?id=1v54cB-ui7Hc6PUd4nR4D3QwXUsV3gVzy
11x6.5x11,7203213-20,USSR,-,Oil-resistant rubber,-,-,-,-,-
11x6.5x11,75003213-A,USSR,-,Oil-resistant rubber,-,-,-,-,-
12x25x7,OAS-12X25x7-NBR,-,-,NBR,-,-,-,-,-
15.8x30x7,MT804130,USSR,-,-,12011109B; 12010794B; 19026201B,-,-,-,-
15x30x7,12010794B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12010794B_3424/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/ba_bmp.png
15x30x7,12011109B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12011109B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/basl_bmp.png
15x30x7,7201122,USSR,-,-,12011109B; 12010794B; 19026201B,-,-,-,-
15x30x7,7201124,USSR,-,-,12011109B; 12010794B; 19026201B,-,-,-,-
16x30x7,19026201B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19026201B_3811/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/htc_bmp.png
18x35x10,12010819B,Corteco,Left,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12010819B_3968/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/ba_bmp.png
18x35x7.5,Г4143701459,USSR,Left,-,H3070; 12010819B,-,-,-,-
18x35x8,H3070,Musashi,Left,-,-,-,-,-,-
19.5x34x8.5,75004122,USSR,-,-,19026213B,-,-,-,-
19.8x40x10,IMZ-8.101-04122,USSR,-,-,12014346B,-,-,-,-
19x38x8,7204122,USSR,Bidirectional,Oil-resistant rubber,19026213B (+ bushing from late version of 6204 gearbox),-,-,-,-
20x34x7,19026213B,Corteco,-,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19026213B_3811/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/htcv_bmp.png
20x40x5.5,12014346B,Corteco,-,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/12014346B_624/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/b2sfrd_bmp.png
22x40x12,43605,Erling,Left,-,-,-,-,-,-
22x40x12,22x40x12,USSR,Left,-,43605,-,-,-,-
24x38x7/7.8,19017089,Corteco,Bidirectional,NBR,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19017089B_2048/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/tcl_bmp.png
24x38x8,5306127,USSR,Bidirectional,-,19017089,-,-,-,-
24x38x8,6206006,USSR,Bidirectional,-,19017089,-,-,-,-
24x38x8,75006350,USSR,Bidirectional,-,19017089,-,-,-,-
24x38x8,6206162-10,USSR,Bidirectional,-,19017089,-,-,-,-
31.4x45.1x8,7204152,USSR,Bidirectional,-,NJ416; 19036883B; 19016668B,-,-,-,-
31x45x7,7204151,USSR,Bidirectional,-,NJ416; 19036883B; 19016668B,-,-,-,-
32x45x6,19036883B,Corteco,Right,FPM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19036883B_572/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/baslrd_bmp.png
32x45x8,19016668B,Corteco,Right,ACM,-,http://ecatcorteco.com/web/corteco/en_GB/$catalogue/140/$product/19016668B_624/datasheet.xhtml,-,-,https://ecatcorteco.com/pim/upload/cortecoImages/image/web/rhtc_bmp.png
32x45x8,NJ416,Payen,-,NBR,-,-,-,-,-
33x49.3x8,7205033,USSR,Bidirectional,-,19036249B; BMW 33213038278; S4888; 12011140B (+ nut turning up to 50mm inner diameter); 12011141B (+ nut turning up to 50mm inner diameter); 46081196B (+ nut turning up to 50mm inner diameter),-,-,-,-
33x49.3x8,7205334,USSR,Bidirectional,-,19036249B; BMW 33213038278; S4888; 12011140B (+ nut turning up to 50mm inner diameter); 12011141B (+ nut turning up to 50mm inner diameter); 46081196B (+ nut turning up to 50mm inner diameter),-,-,-,-
33x49.3x8,65005033,USSR,Bidirectional,-,19036249B; BMW 33213038278; S4888; 12011140B (+ nut turning up to 50mm inner diameter); 12011141B (+ nut turning up to 50mm inner diameter); 46081196B (+ nut turning up to 50mm inner diameter),-,-,-,-
33x49.4x8,6205334,USSR,Bidirectional,-,19036249B; BMW 33213038278; S4888; 12011140B (+ nut turning up to 50mm inner diameter); 12011141B (+ nut turning up to 50mm inner diameter); 46081196B (+ nut turning up to 50mm inner diameter),-,-,-,-
