Category:,Vehicle,,,,,,,,,,,,,,,,,,
Name,Class,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, L",Engine,Gearbox,Generator,Final drive,Sidecar reduction drive,Chassis,Gasket,Wiki,Image,Manual,Parts catalog,Drawings,Status
M103,Motorcycle,MMVZ,1962-1964,75,-,9,-,-,-,-,-,-,-,-,-,-,-,-,deleted
Jupiter-4,Motorcycle,IZHMASH,1980-1985,120,-,18,-,-,-,-,-,-,-,-,-,-,-,-,deleted
R-75,Motorcycle,BMW,1941-1946,95,420,-,-,-,-,-,-,-,-,-,-,-,-,-,deleted
RT125,Motorcycle,DKW,1939-1965,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,deleted
KS750,Motorcycle,Zundapp,1939-1948,95,420,23,-,-,-,-,-,-,-,-,https://drive.google.com/open?id=18fZpT9n_v0C7Wy-1AeFXI7h5snyYLMOG,-,-,-,deleted
M1A,Motorcycle,MMVZ,1951-?,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,deleted
M1M,Motorcycle,MMVZ,-,-,-,-,-,-,-,-,-,-,-,-,-,https://drive.google.com/open?id=1zgXLICqS7vbzKNXXJCs6auYj1WoxTwqO,-,-,deleted
ZAZ-965,Car,ZAZ,1960-1969,90,665,30,965-1000300,-,-,-,-,-,-,https://en.wikipedia.org/wiki/ZAZ_Zaporozhets#ZAZ-965,https://drive.google.com/open?id=1PRjsFDAZ6WmCOYrRqSScdpGqQMZ_37lH,-,-,-,deleted
К1-Б Киевлянин,Moped,KMZ,1946-1955,50,59,8,-,-,-,-,-,-,-,https://ru.wikipedia.org/wiki/%D0%9A-1%D0%91_%C2%AB%D0%9A%D0%B8%D0%B5%D0%B2%D0%BB%D1%8F%D0%BD%D0%B8%D0%BD%C2%BB,http://mopedmuseum.ru/wp-content/uploads/2016/09/1999-tm-01-1.jpg,https://drive.google.com/open?id=1KY2WPAs72k2jBANPxW39rqaF87zeR0Ip,-,-,deleted
Dnepr MT-10,Motorcycle,KMZ,1974-1976,105,335,20,MT-10 type,MT-804,G-424,K-750M type,-,K-750M type,-,-,https://drive.google.com/open?id=1uR4bYLi03IGvfInTUwDZqunxF-ozQkdc,-,https://drive.google.com/open?id=1qI2AgRO8PjScvGZb-Td08gH2mCeDseJK,-,active
Dnepr MT-9,Motorcycle,KMZ,1971-1976,105,350,20,MT-9 type,MT-804,G-414,K-750M type,-,K-750M type,-,-,https://drive.google.com/open?id=1LjltFoTVfUcPzYlOj6I6mgIxif7PyOZu,https://drive.google.com/open?id=1jTIqOyrBl9Zcet3CBxnF-qMWbbh4iuHQ,https://drive.google.com/open?id=1qI2AgRO8PjScvGZb-Td08gH2mCeDseJK,-,active
Dnepr-11,Motorcycle,KMZ,1985-2008,100,325,19,MT-10-32,KMZ-8.155 type,G-424,K-750M type,-,MT-10-36 type,-,-,https://drive.google.com/open?id=10bUaW7vDBGltHDw78mEoaDtVj3Ra4Quw,https://drive.google.com/open?id=1cG1xh3kS6Q4C6dgvotXgOJLkK-i217v3,https://drive.google.com/open?id=1MhZ98Teqg9r_9J7RmZTV0Oew0VsLj5jJ,-,active
K-650 Dnepr,Motorcycle,KMZ,1968-1971,105,350,20,MT-8,6204,G-414,K-750M type,-,K-750M type,-,-,https://drive.google.com/open?id=1ehBLXZoyyjOMa5xYlrGCiPPx2Q9o60zL,https://drive.google.com/open?id=1EPbELE2HOXrDJpCGXX92I-4gahPnVMXz,-,-,active
K-750,Motorcycle,KMZ,1958-1964,95,342,20,K-750 type,7204,G-11A,K-750 type,-,K-750 type,M-72N gasket kit,-,https://drive.google.com/open?id=10mOHp5AyqcTum0-udfqhHiYrtCbK5SzO,https://drive.google.com/open?id=1BeXCSWny-5KJ4XveOK2sX4QPCsE6zlN2,https://drive.google.com/open?id=1nwZn5BhFQS_ItL-guqj9nGlWNU4RCG4m,-,active
K-750M,Motorcycle,KMZ,1963-1970,95,350,20,K-750M type,6204,G-414,K-750M type,-,K-750M type,K-750M gasket kit,-,https://drive.google.com/open?id=1X8XZVgaUdANuSVFdl71-0QJtgwjQsN_K,https://drive.google.com/open?id=1ualPQ5YjvkTCeoglq5aFa3WWO8B-zLHa,https://drive.google.com/open?id=1WIJLBAzHryPKWgSD2XZOS1N_sa5TtdWB,-,active
K-750V,Motorcycle,KMZ,1958-1964,95,342,20,K-750 type,7204,G-11A,K-750 type,-,K-750 type,-,-,https://drive.google.com/open?id=1troz-_4KUVizVspS6z7dy4fCff3trTKO,https://drive.google.com/open?id=1fRVBgS9jD3lXYFEyu5mEn1D4DRoOnFdf,https://drive.google.com/open?id=1EgrMZZbitYEgwTqzMSy5uhKpVPoLQnT3,-,active
M-66 Ural-3 ,Motorcycle,IMZ,1973-1976,105,315,19,M-66 type,6204,G-414,M-63 type,-,M-66 type,M-66 gasket kit,-,https://drive.google.com/open?id=1wNSgg8UB-QLtvejFzsNXcD5o_l0NKazf,-,-,-,active
M-72N,Motorcycle,KMZ,1957-1958,95,350,22,M-72 type,7204,G-11A,M-72 type,-,M-72N type,M-72N gasket kit,-,https://drive.google.com/open?id=1K4Kk87P_8k-LoUag9y0ohJMzVgrj8wuT,https://drive.google.com/open?id=1OmmiQK1L2-5rK-bYg4NfrVaoscdk6gl3,-,-,active
MV-650,Motorcycle,KMZ,1976-1986,95,355,19,MT-10 type,MT-804,G-424,MB-750M type,KMZ type,MV-650 type,-,-,https://drive.google.com/open?id=1wc3BmZ4nNV_Pc-JSx_jXTh25vC0l2I8f,-,-,-,active
